ticercosis "es una enfermedad del sistema nervioso central de origen parasitario que genera una alta morbilidad"
electroneurografía "registro de la velocidad de conducción en los nervios sensitivos o motores, con estímulos naturales o eléctricos"
electronistagmografía "medición del temblor ocular mediante electrodos"
electroterapia "utilización terapéutica de la corriente eléctrica"
endocrinología "estudio de las glándulas de secreción interna llamadas endocrinas y de las sustancias que producen que denominamos hormonas"
geriatría "rama de la medicina que se ocupa de los ancianos sanos o enfermos que precisen atenciones preventivas, cuidados clínicos, terapéuticos o d"
ginecología "especialidad quirúrgica que trata exclusivamente al sexo femenino. abarca el desarrollo específico sexual de la mujer y sus alteraciones"
hemodiálisis "proceso físico químico mediante el cual el riñon artificial depura la sangre de las toxinas urémicas"
hemodinámica "estudio del flujo sanguíneo dentro del sistema vascular"
holter "mini electrocardiograma portátil que registra a lo largo de 24 horas alguna particularidad o suceso digno de atención"
hematología "especialidad médica que se ocupa del estudio de la sangre, sus trastornos y su tratamiento"
hepatólogo "especialidad médica, rama de la especialidad del aparato digestivo encargada del estudio del hígado, vesícula biliar y sus enfermedades"
histerectomía "intervención quirúrgica consistente en la amputación más o menos radical del útero, con o sin conservación del cuello uterino, las"
laparoscopia "introducción del endoscopio veáse endoscopia para la observación del espacio abdominal, introduciendo aire a través del laparoscopio"
radiología "especialidad médica, que se ocupa de generar imágenes del interior del cuerpo mediante diferentes agentes físicos"
laserterapia "sistema emotivo a través de la emisión de los rayos láser"
ligadura "ligadura quirúrgicas de las trompas de falopio con lazada como forma de esterilización de la mujer"
litotricia "fragmentación por ondas de los cálculos renales para posibilitar su eliminación con la orina"
litofragmentación "fragmentación por ondas de los cálculos renales para posibilitar su eliminación con la orina"
logopedia "especialidad no médica, que estudia y trata las patologías que afectan al habla"
magnetoterapia "terapia que emplea acción beneficiosa de las ondas y lo campos magnéticos"
mamografía "radiografía de la glándula mamaria femenina (3 planos), con determinadas condiciones de penetración para el diagnóstico precoz de tumor"
odontología "es una de las ciencias de la salud que se encarga del diagnóstico, tratamiento y prevención de las enfermedades del aparato estomat"
obstetricia "parte de la medicina que se ocupa del embarazo, el parto y el período de tiempo posterior a este"
micología "parte de la botánica que estudia los hongos"
parasitología "parte de la biología que estudia los parásitos y su relación con el hospedante, especialmente con el ser humano"
metabolismo "conjunto de transformaciones físicas, químicas y biológicas que en los organismos vivos experimentan las sustancias introducidas o l"
metabolopatías "enfermedad originada por una alteración del metabolismo del organismo, generalmente por la deficiencia de una enzima. ver metabo"
enzimáticos "tiene como objetivo averiguar qué enzimas proteínas o aceleradoras están presentes o deficitarias en el organismo" 
microbiología "rama de la especialidad análisis clínicos que se encarga del estudio de los microorganismos patógenos para el ser humano"
monitorización "control o supervisión con ayuda de un monitor y seguimiento seriado continuo e intensivo mediante registros gráficos para obte"
nefrología "especialidad médica dedicada al estudio de las enfermedades del riñón, de su diagnóstico y tratamiento"
neonatología "rama de la pediatría que se centra en el estudio del recién nacido"
neumología "estudio o tratado de las enfermedades de los pulmones o vías respiratorias en general"
neurocirugía "cirugía del sistema nervioso"
neurología "especialidad médica que estudia la fisiología, fisiopatología y procesos patológicos que afectan al sistema nervioso"
patología "parte de la medicina que tiene por objetivo el estudio de las enfermedades en todos sus aspectos"
pediatría "rama de la ciencia médica que se ocupa del desarrollo normal del niño desde el punto de vista de la salud, tanto física como mental"
prótesis "pieza o aparato que reemplaza a un órgano, miembro o parte, reproduciendo sus formas y, en lo posible, realizando los mismos servicios"
eritrocito "célula de la sangre de forma redonda u ovalada y de color rojo que contiene hemoglobina y se encarga de transportar el oxígeno a t"
psiquiatría "rama de la medicina que se ocupa del estudio, diagnóstico y tratamiento de las enfermedades mentales"
quimioterapia "tratamiento con determinados productos químicos. aplicable también normalmente al tratamiento de tumores malignos"
nternista "son los expertos a quienes recurren los médicos de atención primaria y el resto de especialistas para atender a enfermos complejos"
recurrente "que ocurre, aparece o se realiza con cierta frecuencia o de manera iterativa"
nivel "hace referencia a la posición relativa de determinados conjuntos de elementos"
incidencia "cosa que se produce en el transcurso de un asunto, un relato, etc., y que repercute en el alterandolo o interrumpiendolo"
importante "algo significativo, considerable, principal, sustancial, notable"
amenaza "que constituye una posible causa de riesgo o perjuicio para alguien"
isoniazida "farmaco antituberculoso activo frente a Mycobacterium tuberculosis"
taquicardia "velocidad excesiva del ritmo de los latidos del corazón"
resistencia "la acción en la que una persona, animal, cosa u organismo resiste o tiene la capacidad de resistirse"
insidioso "que contiene un engaño oculto o disimulado para perjudicar a alguien"
pacientes "personas enfermas que son atendidas por un profesional de la salud"
penicilina "antibióticos empleados profusamente en el tratamiento de infecciones provocadas por bacterias sensibles"
infeccioso "de la infección o que tiene relación con la invasión y multiplicación de agentes patógenos en un tejido orgánico"
diagnostico "análisis que se realiza para determinar cualquier situación y cuáles son las tendencias"
ambiente "que rodea a un cuerpo o circula a su alrededor"
parotiditis "inflamación de las parótidas debida a una infección causada por un virus"
respuesta "acción de responder"
frotis "método de exploración microscópica de un fragmento de tejido o secreción"
inmunidad "estado de resistencia natural o adquirida que poseen algunos organismos"
factores "elementos, condicionantes que contribuyen a lograr un resultado"
carencia "falta o privación de algo necesario"
edematosos "aspecto tumefacto y con hinchazón de un tejido por la acumulación de líquidos"
trastornos "cambios o alteraciónes que se producen en la esencia o las características permanentes que conforman una cosa"
bacteria "microorganismo unicelular que presenta un tamaño de algunos micrómetros de largo"
abscesos "acumulaciónes de pus, internas o externas, en un tejido orgánico"
simple "que está formado por un solo elemento, y no compuesto de varios"
dosis "cantidad de algo, especialmente la de un medicamento o una droga que se ingiere en una toma"
embargo "se utiliza para indicar que lo que se dice a continuación es contradictorio con lo dicho anteriormente"
sodio "elemento químico de número atómico 11, masa atómica 22,99 y símbolo Na"
discapacidad "limitación de alguna facultad física o mental que imposibilita o dificulta el desarrollo normal de la actividad de una persona"
enzimas "son moléculas de naturaleza proteica que catalizan reacciones químicas, siempre que sean termodinámicamente posibles"
anemia "se caracteriza por la disminución anormal del número o tamaño de los glóbulos rojos que contiene la sangre o de su nivel de hemoglobina"
enfermedad "alteración leve o grave del funcionamiento normal de un organismo"
trimestre "período de tres meses"
plaquetas "son pequeños fragmentos de células sanguíneas"
hematomas "es la acumulación de sangre causada por una hemorragia interna"
infartos "es el nombre que se le da a la necrosis isquémica o muerte de un tejido en un órgano"
malestar "sensación física de indisposición y molestia general e imprecisa"
cefalea "dolor de cabeza intenso y persistente que va acompañado de sensación de pesadez"
epigastrio "región superior del abdomen que va desde la punta del esternón hasta el ombligo"
peso "fuerza con que la Tierra atrae a un cuerpo, por acción de la gravedad"
edema "exceso de líquido en algún órgano o tejido del cuerpo que, en ocasiones, puede ofrecer el aspecto de una hinchazón blanda"
proteinuria "presencia en la orina de proteínas en una cantidad superior a la normal"
preeclampsia "estado patológico de la mujer en el embarazo que se caracteriza por hipertensión arterial"
prematuro "que ocurre o sucede antes del tiempo que se considera habitual o necesario"
placenta "organo que desarrollan durante la gestación las hembras de los mamíferos"
renal "del riñón o relacionado con él"
prurito "deseo constante, y a veces excesivo, de hacer una cosa de la forma más completa o perfecta posible"
ictericia "coloración amarillenta de la piel y las mucosas"
fosfatasa "es una enzima clasificada dentro de las hidrolasas"
bilirrubina "pigmento amarillo que se encuentra en la bilis y se forma por la degradación de la hemoglobina"
colesterol "sustancia grasa que se encuentra en las membranas de muchas células animales y en el plasma sanguíneo"
biopsia "examen microscópico de un trozo de tejido o una parte de líquido orgánico que se extrae de un ser vivo"
hepatocelular "es responsable de la mayoría de los cánceres del hígado"
tratamiento "manera de actuar, de comportarse o de proceder una persona en su relación con los demás"
difenhidramina "es un medicamento antihistamínico, sedante e hipnótico perteneciente al grupo de las etanolaminas"
inhibir "impedir o reprimir el ejercicio de facultades o hábitos"
sangre "líquido, de color rojo en los vertebrados"
feto "embrión de los vivíparos a partir del momento en que ha adquirido la conformación característica de la especie a que pertenece"
droga "sustancia natural, de origen vegetal o animal, o sintética, que se emplea en química o en tintorería, o en farmacia y medicina"
estradiol "hormona esteroide sexual femenina"
obesidad "estado patologico causado por exceso de grasa en el cuerpo"
esteatorrea "diarrea, caracterizada por la presencia de secreciones lipídicas en las heces fecales"
lorcaserina "medicamento indicado para el tratamiento de la obesidad"
cefalea "Dolor de cabeza intenso y persistente que va acompañado de sensación de pesadez"
zonisamide "sulfonamida anticonvulsivante aprobada para tratamiento concomitante en adultos con crisis parciales"
dietilpropion "anorexígeno considerado que produce menos alteraciones del sistema nervioso central"
anfetaminas "agente adrenérgico sintético, potente estimulante del sistema nervioso central"
ﬂuoxetina "antidepresivo de la clase Inhibidores Selectivos de la Recaptación de Serotonina"
insomnio "Falta anormal de sueño y dificultad para conciliarlo que se sufre en el momento en que corresponde dormir"
cirugía "Parte de la medicina que se ocupa de curar las enfermedades, malformaciones, traumatismos"
ﬁsiológico "De la fisiología o relacionado con ella"
mortalidad "Cualidad de mortal"
apoproteinas "componentes proteicos de las lipoproteínas glosario"
síndrome "Conjunto de síntomas que se presentan juntos y son característicos de una enfermedad"
familiar "De la familia, para la familia o relacionado con ella"
variantes "Variedad o diferencia de una cosa respecto de otra u otras"
xantomas "afección cutánea caracterizada por la formación de placas o nódulos más o menos planos, amarillos, ligeramente elevados"
poliinsaturadas "grasa dietaria"
hiperlipidemia "Afección caracterizada por niveles elevados de partículas de grasa"
relativamente "Desde un punto de vista relativo"
plasma "i wonder is someone reading this"
eritematoso "Del eritema o que va acompañado de este enrojecimiento de la piel"
antebrazo "Parte del brazo humano que va desde el codo hasta la muñeca"
tuberosos "malformación o deformación de las mamas"
interrogatorio "Acción de interrogar a alguien reiteradamente"
colesterol "esterol que se encuentra en los tejidos corporales y en el plasma sanguíneo de los vertebrados"
electroforesis "técnica para la separación de moléculas según la movilidad de éstas en un campo eléctrico"
coronaria "entramado circulatorio que permite al corazón recibir sangre de su propio aparato vascular"
aterogénico "ormación de placas por debajo de la íntima en la pared arterial"
pegilado "medicamento que se emplea en el tratamiento de la hepatitis B crónica y la hepatitis C crónica"
Sofosbuvir "medicamento que se utiliza para el tratamiento de la hepatitis C crónica"
ascitis "presencia de líquido seroso en el espacio que existe entre el peritoneo visceral y el peritoneo parietal"
hígado "está situado en la parte superior derecha del abdomen"
encefalopatía "significa desorden o enfermedad del encéfalo"
vasodilatación "es el incremento del diámetro interno de los vasos sanguíneos lo que permite que aumente el flujo de sangre a su través"
colágeno "es una molécula proteica o proteína que forma fibras, las fibras colágenas"
ingesta "introducción de la comida en el aparato digestivo al servicio de la alimentación o de la hidratación"
leucopenia "es la disminución del número de leucocitos totales por debajo de 3.000 - 3.500 /mm"
tiempo "es una magnitud física con la que medimos la duración o separación de acontecimientos"
adulto "hace referencia a un organismo con una edad tal que ha alcanzado su pleno desarrollo orgánico, incluyendo la capacidad de reproducirse"
joven "es la edad que precede inmediatamente a la edad adulta"
discreta "Que está dotado de discreción"
práctico "De la práctica o relacionado con la aplicación particular de una idea, doctrina o teoría"
centro "Punto interior que equidista, aproximadamente, del perímetro de una figura"
retroauricular "Prótesis auditiva que se coloca sobre el pabellón de la oreja"
zona "Superficie acotada, que se distingue de lo que la rodea"
anestésica "Que tiene relación con la anestesia"
úlceras "es toda lesión abierta de la piel o membrana mucosa con pérdida de sustancia"
vitro "es la técnica que se realiza fuera del organismo, dentro de un tubo de ensayo"
lesiones "es un cambio anormal en la morfología o estructura de una parte del cuerpo producida por un daño externo o interno"
muestra "en el comercio, pequeña cantidad de producto que se enseña o regala para darlo a conocer o promocionarlo"
fenómeno "Manifestación de una actividad que se produce en la naturaleza y se percibe a través de los sentidos"
Eritema "es un término médico dermatológico para un enrojecimiento de la piel condicionado por una inflamación"
trombos "es la formación de un coágulo en el interior de un vaso sanguíneo y uno de los causantes de un infarto agudo de miocardio"
proliferación "Incremento de la cantidad o el número de algo de forma rápida"
acrómico "del cuerpo falto de color"
corticoesteroides "se usan para tratar artritis reumatoide, lupus, asma, alergias y muchas otras enfermedades"
laboratorio "es un lugar dotado de los medios necesarios para realizar investigaciones, experimentos, etc"
oral "De la boca o que tiene relación con esta parte del cuerpo"
reumatoide "Inflamación crónica que afecta a varias articulaciones, simultánea o sucesivamente, y que provoca deformaciones e impotencia"
vascular "Que está formado por vasos (conductos) o los posee"
hiperinsulinemia "es una condición que se refiere a niveles altos de insulina en la sangre"
venoso "De las venas o relacionado con ellas"
hematuria "Presencia de sangre en la orina"
cilindruria "Presencia de formaciones microscópicas cilíndricas en el sedimento urinario"
angiografía "Radiografía de los vasos sanguíneos de una zona determinada del organismo"
proteinura "Presencia en la orina de proteínas en una cantidad superior a la normal"
difenilhidantoína "es un antiepiléptico de uso común"
nefropatía "Enfermedad del riñón"
neuropatía "Enfermedad del sistema nervioso, especialmente la no inflamatoria"
glomerulonefritis "es un problema que afecta a las diminutas unidades renales encargadas del proceso de filtrado"
glucemia "Presencia de azúcar en la sangre"
miocardio "Parte muscular del corazón"
hipoglucemiantes "Dícese del fármaco que posee la capacidad de disminuir los niveles de glucosa en sangre"
hipertenso "Que padece hipertensión"
hidralazina "se usa para tratar la hipertensión arterial"
fenotipo "Conjunto de caracteres visibles que un individuo presenta como resultado de la interacción entre su genotipo y el medio"
amenorrea "Ausencia de la menstruación"
inguinal "De la ingle o relacionado con esta parte del cuerpo humano"
congénita "enfermedad, malformación que se presenta durante el período de gestación y puede ser hereditaria o no"
abdomen "Región o cavidad posterior del cuerpo del hombre y los animales vertebrados"
conducto "Órgano del cuerpo que tiene forma de tubo"
campimetría "Conjunto de técnicas dirigidas a explorar y medir la extensión del campo visual del ojo"
dislipidemia "Es la presencia de elevación anormal de concentración de grasas en la sangre"
cariotipo "Conjunto de los cromosomas de una célula"
curetaje "consiste en el uso de una legra o cureta para eliminar tejido del útero mediante raspado o cucharillado"
osteoporosis "Enfermedad ósea que se caracteriza por una disminución de la densidad del tejido óseo"
andrógenos "son hormonas sexuales masculinas y corresponden a la testosterona, la androsterona y la androstenediona"
Neumonía "Inflamación de los pulmones"
Arritmias "Cualquier trastorno en los latidos del corazón o el ritmo cardiaco"
Inmunosupresores "Sustancia química que produce la inmunosupresión del sistema inmunitario"
Biopsia "Examen microscópico de un trozo de tejido o una parte de líquido orgánico que se extrae de un ser vivo"
Miocarditis "Inflamación del músculo cardíaco (miocardio)"
Miocardio "Parte muscular del corazón encargado de bombear la sangre por el sistema circulatorio"
Corticoesteroides "Medicamentos que reducen la inflamación en el cuerpo"
Sarcoidosis "Enfermedad que usualmente provoca inflamación en pulmones, piel y ganglios linfáticos"
Quelante "Sustancia de naturaleza química que tiene la facultad de unirse a los iones metálicos"
Hemocromatosis "Enfermedad hereditaria que afecta al metabolismo del hierro"
Carnitina "Transportador de los ácidos grasos (lípidos) a la mitocondria"
Mitocondria "Orgánulo citoplasmático de las células eucariotas"
Tiamina "Vitamina B1 que ayuda a las células del organismo a convertir carbohidratos en energía"
Trasplante "Acción que consiste en trasplantar una parte de tejido o un órgano"
Fibrosis "Formación patológica de tejido fibroso en un órgano del cuerpo"
Hipertroﬁa "Desarrollo excesivo o aumento desmesurado y perjudicial de una cosa"
Pericarditis "Enfermedad no contagiosa producida por la inflamación del pericardio, la capa que cubre al corazón"
Cardiomegalia "Aumento anormal del volumen del corazón"
Amiloidosis "Término genérico utilizado para hacer referencia a un grupo de enfermedades de etiología diversa"
Transmural "Lesión miocárdica"
Granulomatosa "Enfermedad que se caracteriza por una mayor susceptibilidad a infecciones bacterianas severas"
Edema "Hinchazón causada por la acumulación de líquido en los tejidos del cuerpo"
RMC "Resonancia Magnética Cardíaca que permite caracterizar el edema miocárdico tras un infarto agudo de miocardio"
TC "Tomografía computarizada para poder visualizar partes del cuerpo"
Dominante "Carácter que se impone sobre otro y aparece en el organismo"
Endovenosa "Que está o se coloca en el interior de una vena"
Estenosis "Estrechez o estrechamiento de un orificio o conducto"
Mitral "Válvula mitral del corazón"
Atenolol "Fármacos usados primariamente en enfermedades cardiovasculares"
Metoprolol "Bloqueador del receptor Beta1 selectivo de enfermedades severas del sistema cardiovascular"
Parto "Culminación del embarazo humano hasta el periodo de la salida del bebé del útero"
IC "La insuficiencia cardiaca es la etapa final común de la mayoría de las enfermedades cardiovasculares"
Isquemia "Detención o disminución de la circulación de sangre a través de las arterias de una determinada zona"
Tolerancia "Capacidad que tiene un organismo para resistir y aceptar el aporte de determinadas sustancias"
Terapia "Conjunto de medios de cualquier clase cuya finalidad es curar o alivar enfermedades o síntomas"
Trombosis "Formación de un coágulo de sangre en el interior de un vaso sanguíneo o en el corazón"
Sangrado "Puede referirse a una hemorriagia"
Uroquinasa "Enzima elaborada por el riñón y que se encuentra en la orina"
Angioplastia "Cirugía para restaurar el flujo de sangre en arterias bloqueadas o estrechas"
Heparina "Sustancia anticoagulante natural que existe normalmente en todos los tejidos del cuerpo humano"
Warfarina "Medicamento anticoagulante oral que se usa para prevenir la formación de trombos y émbolos"
tirosina "es uno de los 20 aminoácidos que forman las proteínas"
progenitores "es un término que se usa para nombrar al padre de un individuo"
linfocitos "es un tipo de leucocito"
Talidomida "es un fármaco que fue comercializado entre los años 1957 y 1963 como sedante y como calmante de las náuseas"
estenosis "es un término utilizado para denotar la constricción o estrechamiento de un orificio o conducto corporal"
nitroglicerina "es un compuesto orgánico, que se obtiene mezclando ácido nítrico concentrado, ácido sulfúrico y glicerina"
clopidogrel "es un medicamento que es usado para reducir el riesgo de enfermedades del corazon y ataques de alto riesgo"
idiopática "es un adjetivo usado primariamente en medicina, que significa de irrupción espontánea o de causa desconocida"
artralgias "La artralgia es un dolor en una o más articulaciones"
lumbalgia "es el dolor localizado en la parte baja de la espalda"
biopsias "es un procedimiento diagnóstico que consiste en la extracción de una muestra total o parcial de tejido para ser examinada"
hiperparatiroidismo "es la mas comun de las enfermedades de glandulas paratiroides"
tuberculosis "es una infección bacteriana contagiosa que compromete principalmente a los pulmones, pero puede propagarse a otros órganos"
insulina "es una hormona polipeptídica"
glucemia "es la medida de concentración de glucosa libre en la sangre, suero o plasma sanguíneo"
meningitis "es una infección caracterizada por la inflamación de las meninges​ (leptomeninges) que en el 80% de los casos es causada por virus"
enzima "es una proteína que cataliza las reacciones bioquímicas del metabolismo"
incretinas "son una serie de hormonas que se producen en el intestino en respuesta a la ingesta de alimentos"
amenorrea "es la ausencia de los períodos menstruales mensuales de una mujer"
gentamicina "es un aminoglucósido, se emplea como antibiótico para erradicar infecciones contra bacterias sensibles"
Fosfomicina "es un antibiótico de amplio espectro,​ sintetizado por algunas especies de Streptomyces"
clamidia "es una enfermedad de transmisión sexual (ETS) común que es fácil de curar"
micoplasma "son bacterias que carecen de pared celular​"
ﬂuoroquinolonas "son agentes antimicrobianos bactericidas de uso común tanto en el ámbito ambulatorio como en el hospitalario"
antígenos "es cualquier sustancia capaz de interaccionar con el sistema inmunológico y susceptible de iniciar una respuesta"
hepatitis "es una enfermedad inflamatoria que afecta al hígado"
rubéola "es una infección que afecta prioritariamente a la piel y los ganglios linfáticos"
aciclovir "es un fármaco antiviral derivado de la guanosina que se usa en el tratamiento de infecciones"
arterias "es cada uno de los vasos que llevan la sangre desde el corazón hacia los capilares del cuerpo"
trombosis "es un coágulo sanguíneo que se forma en una vena profunda en el cuerpo"
embolia "está relacionada con una alteración en la coagulación sanguínea y puede tener consecuencias muy graves"
epitelio "Tejido constituido por células íntimamente unidas, planas o prismáticas, que recubre la superficie externa del cuerpo"
adrenocortical "Relacionado con la capa externa de la glándula suprarrenal (corteza suprarrenal) o elaborado por ella"
endoscópico "que consiste en la introducción de una cámara o lente dentro de un tubo o endoscopio a través de un orificio natural"
biopsia "Examen microscópico de un trozo de tejido o una parte de líquido orgánico que se extrae de un ser vivo"
fibrobroncoscopia "La fibrobroncoscopía (FBC) es un procedimiento endoscópico que permite visualizar la vía aérea por dentro y tomar"
mediastinales "parte del tórax que está entre el esternón y la columna vertebral y entre los pulmones"
dismórﬁco "preocupación obsesiva por un defecto percibido en las características físicas"
esquizofrenia "Nombre genérico de un grupo de enfermedades mentales que se caracterizan por alteraciones de la personalidad"
lamotilidad "término de la biología para expresar la habilidad de moverse espontánea e independientemente"
meninges "son las tres membranas de tejido conjuntivo que recubren el cerebro y la médula espinal"
keratoconjuntivitis "inflamación de la córnea y la conjuntiva"
togavirus "es una familia de virus"
alucinaciones "Epilepsia que involucra una parte del cerebro llamada lóbulo temporal"
epigenéticos "hace referencia al estudio de los factores que, sin corresponderse a elementos de la genética clásica"
valvulitis "Proceso inflamatorio de una válvula, principalmente de una válvula cardíaca"
ateroesclerosis "Es una afección, también llamada ateroesclerosis, que ocurre cuando se acumulan grasa"
fotosensibilidad "es una palabra utilizada para describir la sensibilidad a la luz ultravioleta (UV) de la luz solar y otras fuentes de luz"
gastritis "Gastritis es la inflamación de la mucosa gástrica, que en la gastroscopía se ve enrojecida, presentándose en forma de manchas rojizas"
ﬁbroblastos "es un tipo de célula residente del tejido conectivo propiamente dicho, ya que nace y muere ahí"
capilares "adjetivo que nombre todo lo relativo o perteneciente al cabello"
plaquetas "son pequeños fragmentos de células sanguíneas"
andrógeno "son hormonas sexuales masculinas y corresponden a la testosterona, la androsterona y la androstenediona"
rutilante "Que rutila o brilla"
hemorrágicos "grupo de afecciones en las cuales hay un problema con el proceso de coagulación sanguínea del cuerpo"
desmopresina "se usa para controlar los síntomas de un determinado tipo de diabetes insípida"
hematopoyético "es el responsable de la producción de células sanguíneas"
mielodisplasia "Conjunto de trastornos ocasionados por la interrupción en la producción de células sanguíneas"
eritropoyetina "Proteína, segregada principalmente por el riñón en el adulto y por el hígado en el feto"
farnestil "Incisión transversal arqueada de convexidad inferior y concavidad superior"
﻿adherencia "Acción de adherir o adherirse"
agudo "Que termina en punta o en filo y puede cortar o pinchar con facilidad"
alcohol "Bebida que contiene alcohol etílico"
aneurisma "Dilatación anormal de las paredes de una arteria o una vena"
anormales "Que es distinto de lo general o de lo común"
antihipertensivos "Designa toda sustancia o procedimiento que reduce la presión arterial"
aorta "Arteria principal de los vertebrados"
arteriolar "Vaso sanguíneo de diámetro menor de 40 o 100 micras"
arteriovenosos "arterial y venoso al mismo tiempo"
cerebral "Del cerebro o relacionado con él"
cobre "Color pardo rojizo, como el de este metal"
coronaria "Rueda de reloj que dirige la aguja de los segundos"
creatinina "Producto final del metabolismo de la creatina que se encuentra en el tejido muscular"
daño "Perjuicio, mal o desgracia"
diastólica "De la diástole o relacionado con ella"
disecante "Hace referencia como participio activo de diseca, que quiere decir el que diseca ecocardiograma"
edema "Presencia de un exceso de líquido en algún órgano o tejido del cuerpo que tiene aspecto de una hinchazón blanda"
electrólitos "Mineral que está en los líquidos del organismo y que tiene una carga eléctrica"
encefalopatía "Enfermedad que afecta al encéfalo"
endurecimiento "Acción de endurecer o endurecerse"
epigastrio "Acción de endurecer o endurecerse"
episódica "Del episodio o relacionado con él"
estenosis "Estrechez o estrechamiento de un orificio o conducto"
etanol "Líquido incoloro, de olor fuerte e inflamable que se obtiene por destilación de productos"
etiología "Estudio sobre las causas de las cosas"
exudados "Líquido que se filtra desde los vasos sanguíneos hacia los tejidos cercanos"
farmacológico "De la farmacología o relacionado con ella"
feocromocitoma "Tumor de la médula suprarrenal de la glándula adrenal"
flujo "Movimiento de un fluido"
fortuito "Que sucede inesperadamente y por casualidad"
hallazgo "Acción de hallar"
hiperlipidemias "Presencia de niveles elevados de los lípidos en la sangre"
ictus "Acceso morboso que se manifiesta de modo súbito y violento, como producido por un golpe"
infarto "Obstrucción de los tejidos que forman un órgano"
isquemia "Detención o disminución de la circulación de sangre a través de las arterias de una determinada zona"
